39.98,4.3,4.81,3.0
22.82,3.2,3.75,3.0
26.37,4.08,4.32,2.0
23.21,3.41,3.98,2.0
24.75,3.22,3.61,2.0
17.52,2.77,3.09,2.0
19.85,4.0,3.82,2.0
22.08,4.31,3.77,2.0
61.24,5.36,2.0,2.0
64.89,5.58,1.92,2.0
77.11,5.07,2.04,2.0
82.54,6.15,1.69,2.0
21.54,5.68,2.01,3.0
19.79,5.8,1.87,1.0
19.31,4.82,1.93,2.0
22.69,5.09,2.54,2.0
21.12,4.68,2.41,2.0
18.82,4.52,1.99,2.0
16.84,4.18,1.7,2.0
11.33,4.22,1.61,2.0
11.12,3.92,1.56,2.0
8.79,4.49,1.39,2.0
10.05,5.57,1.64,2.0
13.23,5.32,1.33,1.0
11.03,5.76,1.24,2.0
11.39,4.53,1.25,2.0
9.04,5.15,0.99,2.0
18.15,5.05,1.3,3.0
16.64,5.63,1.19,1.0
18.46,5.77,1.31,2.0
18.16,4.87,1.32,2.0
8.68,5.48,1.25,2.0
9.06,6.22,1.32,2.0
10.05,5.94,1.47,2.0
9.32,6.07,1.39,1.0
8.93,6.25,1.32,2.0
8.44,6.54,1.26,2.0
7.78,6.18,1.24,2.0
6.86,6.95,1.11,2.0
6.7,7.59,1.14,2.0
9.42,8.41,1.23,2.0
8.75,8.59,1.17,1.0
8.73,8.42,1.14,2.0
10.07,6.62,1.33,2.0
7.35,7.42,1.28,1.0
8.4,5.47,1.37,2.0
7.92,6.34,1.34,2.0
8.1,7.35,1.32,2.0
8.52,7.69,1.35,2.0
9.19,7.01,1.51,2.0
8.27,6.7,1.34,2.0
9.24,6.7,1.44,3.0
8.76,7.11,1.35,2.0
9.55,6.46,1.44,2.0
8.57,5.61,1.28,2.0
8.4,5.35,1.24,3.0
8.45,5.24,1.25,2.0
8.26,4.68,1.23,2.0
7.62,4.46,1.14,2.0
7.31,4.38,1.07,3.0
6.96,4.4,1.0,2.0
7.39,4.43,1.05,2.0
7.72,4.99,1.08,2.0
130.0,3.41,1.28,1.0
32.33,3.14,1.09,3.0
20.98,3.58,1.39,3.0
28.8,5.38,2.22,1.0
28.65,5.6,2.45,1.0
27.42,7.22,2.6,2.0
25.16,7.54,2.71,2.0
49.3,8.05,2.96,2.0
146.19,5.46,1.96,2.0
63.0,4.18,0.87,3.0
27.67,1.26,0.81,1.0
10.27,1.26,0.73,2.0
2.4,1.45,0.8,2.0
3.58,2.26,1.22,2.0
4.54,2.62,1.43,1.0
4.2,2.63,1.3,1.0
35.3,7.54,1.64,3.0
78.3,3.19,1.63,1.0
23.83,5.17,2.37,1.0
41.19,8.95,4.27,1.0
54.26,8.29,3.49,1.0
41.26,28.78,3.94,2.0
39.76,34.07,3.9,3.0
33.89,59.28,3.62,2.0
31.24,350.74,3.74,2.0
26.32,5.17,4.22,1.0
26.24,5.57,4.4,1.0
26.95,5.92,4.7,2.0
23.53,5.31,4.12,2.0
28.46,5.31,3.92,3.0
27.48,6.2,4.35,2.0
7.28,6.17,4.17,2.0
8.04,7.33,4.84,2.0
8.35,9.27,5.08,1.0
9.63,11.42,5.82,2.0
35.42,124.08,7.07,2.0
21.39,17.84,5.43,1.0
27.53,3.69,4.49,3.0
26.25,3.95,4.73,2.0
30.08,3.9,4.48,2.0
63.75,4.03,4.29,2.0
34.1,4.06,6.1,3.0
47.05,3.07,4.44,2.0
116.85,3.31,4.66,3.0
62.62,9.69,10.92,2.0
58.37,9.55,10.66,3.0
46.44,8.07,9.01,2.0
55.77,10.03,11.63,3.0
44.6,7.88,9.46,1.0
53.72,8.83,10.83,3.0
65.98,9.62,12.26,2.0
53.43,8.52,11.07,1.0
51.15,7.4,9.94,3.0
50.2,6.64,9.01,3.0
49.31,6.57,8.78,3.0
45.54,5.54,6.93,2.0
43.51,5.33,6.53,3.0
38.9,4.99,6.0,2.0
73.83,7.96,11.36,2.0
32.46,5.07,6.17,1.0
30.58,4.64,5.74,3.0
24.18,3.68,4.5,3.0
